instance,solver,time,val
300_120_3_00,3CapRec,0.23,35144.00
300_120_3_00,3Cap,0.70,26347.00
300_120_3_01,3CapRec,0.07,34839.00
300_120_3_01,3Cap,0.31,26427.00
300_120_3_02,3CapRec,0.07,35143.00
300_120_3_02,3Cap,0.21,26376.00
300_120_3_03,3CapRec,0.07,34523.00
300_120_3_03,3Cap,0.19,26353.00
300_120_3_04,3CapRec,0.06,35710.00
300_120_3_04,3Cap,0.18,26384.00
300_120_3_05,3CapRec,0.08,35968.00
300_120_3_05,3Cap,0.16,26467.00
300_120_3_06,3CapRec,0.08,35038.00
300_120_3_06,3Cap,0.18,26351.00
300_120_3_07,3CapRec,0.06,35355.00
300_120_3_07,3Cap,0.17,26335.00
300_120_3_08,3CapRec,0.06,35343.00
300_120_3_08,3Cap,0.17,26368.00
300_120_3_09,3CapRec,0.08,34444.00
300_120_3_09,3Cap,0.17,26360.00
300_120_3_10,3CapRec,0.07,35590.00
300_120_3_10,3Cap,0.16,26423.00
300_120_3_11,3CapRec,0.06,35129.00
300_120_3_11,3Cap,0.17,26342.00
300_120_3_12,3CapRec,0.06,35082.00
300_120_3_12,3Cap,0.18,26402.00
300_120_3_13,3CapRec,0.06,34338.00
300_120_3_13,3Cap,0.17,26379.00
300_120_3_14,3CapRec,0.07,35777.00
300_120_3_14,3Cap,0.16,26361.00
300_120_3_15,3CapRec,0.07,35409.00
300_120_3_15,3Cap,0.17,26470.00
300_120_3_16,3CapRec,0.06,34950.00
300_120_3_16,3Cap,0.16,26396.00
300_120_3_17,3CapRec,0.06,35551.00
300_120_3_17,3Cap,0.17,26336.00
300_120_3_18,3CapRec,0.06,35219.00
300_120_3_18,3Cap,0.17,26329.00
300_120_3_19,3CapRec,0.06,35801.00
300_120_3_19,3Cap,0.17,26364.00
