instance,solver,time,val
300_180_2_00,2Cap,0.55,48789.76
300_180_2_00,OPT,64.7,48757.02
300_180_2_00,2Cap + TS,100.24,48789.76
300_180_2_01,2Cap,0.42,48744.82
300_180_2_01,OPT,32.27,48735.14
300_180_2_01,2Cap + TS,97.43,48744.82
300_180_2_02,2Cap,0.40,48809.2
300_180_2_02,OPT,26.43,48786.14
300_180_2_02,2Cap + TS,155.54,48804.4
300_180_2_03,2Cap,0.47,48798.26
300_180_2_03,OPT,46.07,48774.02
300_180_2_03,2Cap + TS,107.86,48788.58
300_180_2_04,2Cap,0.36,48826.12
300_180_2_04,OPT,28.23,48781.26
300_180_2_04,2Cap + TS,106.43,48826.12
300_180_2_05,2Cap,0.38,48799.52
300_180_2_05,OPT,34.92,48763.16
300_180_2_05,2Cap + TS,281.21,48777.8
300_180_2_06,2Cap,0.42,48834.62
300_180_2_06,OPT,36.87,48776.46
300_180_2_06,2Cap + TS,118.15,48824.94
300_180_2_07,2Cap,0.32,48794.56
300_180_2_07,OPT,29.72,48766.7
300_180_2_07,2Cap + TS,100.75,48782.44
300_180_2_08,2Cap,0.39,48782.52
300_180_2_08,OPT,23.86,48764.34
300_180_2_08,2Cap + TS,121.2,48775.28
300_180_2_09,2Cap,0.35,48775.28
300_180_2_09,OPT,28.14,48763.16
300_180_2_09,2Cap + TS,90.44,48775.28
300_180_2_10,2Cap,0.35,48795.74
300_180_2_10,OPT,98.62,48773.94
300_180_2_10,2Cap + TS,110.01,48795.74
300_180_2_11,2Cap,0.38,48788.58
300_180_2_11,OPT,26.54,48752.22
300_180_2_11,2Cap + TS,98.9,48784.96
300_180_2_12,2Cap,0.38,48820.06
300_180_2_12,OPT,32.26,48792.2
300_180_2_12,2Cap + TS,108.2,48820.06
300_180_2_13,2Cap,0.34,48805.5
300_180_2_13,OPT,65.12,48778.82
300_180_2_13,2Cap + TS,118.63,48805.5
300_180_2_14,2Cap,0.49,48804.24
300_180_2_14,OPT,41.58,48755.76
300_180_2_14,2Cap + TS,227.4,48787.32
300_180_2_15,2Cap,0.34,48795.82
300_180_2_15,OPT,23.89,48782.52
300_180_2_15,2Cap + TS,138.23,48794.64
300_180_2_16,2Cap,0.31,48792.12
300_180_2_16,OPT,28.31,48754.5
300_180_2_16,2Cap + TS,140.89,48783.7
300_180_2_17,2Cap,0.42,48821.24
300_180_2_17,OPT,28.83,48753.4
300_180_2_17,2Cap + TS,104.81,48821.24
300_180_2_18,2Cap,0.34,48798.34
300_180_2_18,OPT,22.99,48774.1
300_180_2_18,2Cap + TS,119.15,48792.28
300_180_2_19,2Cap,0.36,48803.06
300_180_2_19,OPT,30.37,48763.08
300_180_2_19,2Cap + TS,113.72,48793.38
