instance,solver,time,val
300_120_3_00,BinP,544.13,26109.00
300_120_3_00,3Cap,0.50,26181.00
300_120_3_01,BinP,447.05,26113.00
300_120_3_01,3Cap,0.33,26196.00
300_120_3_02,BinP,820.91,26113.00
300_120_3_02,3Cap,0.16,26223.00
300_120_3_03,BinP,665.94,26113.00
300_120_3_03,3Cap,0.18,26184.00
300_120_3_04,BinP,549.58,26111.00
300_120_3_04,3Idx,810.28,26111.00
300_120_3_04,3Cap,0.22,26226.00
300_120_3_05,BinP,1029.76,26111.00
300_120_3_05,3Cap,0.20,26215.00
300_120_3_06,BinP,665.45,26108.00
300_120_3_06,3Idx,557.77,26108.00
300_120_3_06,3Cap,0.20,26272.00
300_120_3_07,BinP,1028.22,26117.00
300_120_3_07,3Idx,639.20,26117.00
300_120_3_07,3Cap,0.21,26180.00
300_120_3_08,BinP,1166.06,26110.00
300_120_3_08,3Cap,0.15,26242.00
300_120_3_09,BinP,1104.89,26117.00
300_120_3_09,3Cap,0.16,26196.00
300_120_3_10,BinP,682.66,26115.00
300_120_3_10,3Idx,1453.78,26115.00
300_120_3_10,3Cap,0.16,26190.00
300_120_3_11,BinP,533.97,26114.00
300_120_3_11,3Cap,0.16,26191.00
300_120_3_12,BinP,480.91,26111.00
300_120_3_12,3Cap,0.33,26185.00
300_120_3_13,BinP,687.46,26111.00
300_120_3_13,3Idx,1800.23,26111.00
300_120_3_13,3Cap,0.22,26249.00
300_120_3_14,BinP,713.23,26112.00
300_120_3_14,3Idx,799.81,26112.00
300_120_3_14,3Cap,0.15,26217.00
300_120_3_15,BinP,685.46,26115.00
300_120_3_15,3Idx,449.73,26115.00
300_120_3_15,3Cap,0.16,26224.00
300_120_3_16,BinP,1151.19,26112.00
300_120_3_16,3Cap,0.20,26174.00
300_120_3_17,BinP,904.79,26120.00
300_120_3_17,3Cap,0.21,26248.00
300_120_3_18,BinP,883.89,26120.00
300_120_3_18,3Cap,0.31,26193.00
300_120_3_19,BinP,581.45,26111.00
300_120_3_19,3Idx,481.32,26111.00
300_120_3_19,3Cap,0.16,26146.00
