instance,solver,time,val
100_40_3_00,BinP,2.04,3418.00
100_40_3_00,3CapRec,0.03,4153.00
100_40_3_00,3Cap,0.04,3397.00
100_40_3_01,BinP,2.05,3431.00
100_40_3_01,3CapRec,0.01,4244.00
100_40_3_01,3Cap,0.02,3366.00
100_40_3_02,BinP,2.04,3462.00
100_40_3_02,3CapRec,0.01,4315.00
100_40_3_02,3Cap,0.01,3383.00
100_40_3_03,BinP,2.07,3460.00
100_40_3_03,3CapRec,0.01,4396.00
100_40_3_03,3Cap,0.01,3362.00
100_40_3_04,BinP,2.04,3430.00
100_40_3_04,3CapRec,0.01,4353.00
100_40_3_04,3Cap,0.01,3439.00
100_40_3_05,BinP,2.07,3391.00
100_40_3_05,3CapPerm,0.21,4159.00
100_40_3_05,3CapRec,0.02,4255.00
100_40_3_05,3Cap,0.01,3438.00
100_40_3_06,BinP,2.04,3380.00
100_40_3_06,3CapRec,0.00,4249.00
100_40_3_06,3Cap,0.01,3400.00
100_40_3_07,BinP,2.04,3463.00
100_40_3_07,3CapRec,0.01,4136.00
100_40_3_07,3Cap,0.01,3404.00
100_40_3_08,BinP,2.08,3453.00
100_40_3_08,3CapRec,0.00,4399.00
100_40_3_08,3Cap,0.01,3389.00
100_40_3_09,BinP,2.07,3391.00
100_40_3_09,3Cap,0.01,3379.00
100_40_3_10,BinP,2.04,3419.00
100_40_3_10,3CapRec,0.00,4189.00
100_40_3_10,3Cap,0.01,3452.00
100_40_3_11,BinP,2.07,3452.00
100_40_3_11,3CapRec,0.01,4264.00
100_40_3_11,3Cap,0.01,3419.00
100_40_3_12,BinP,2.05,3455.00
100_40_3_12,3CapRec,0.00,4219.00
100_40_3_12,3Cap,0.01,3408.00
100_40_3_13,BinP,2.05,3456.00
100_40_3_13,3Cap,0.01,3414.00
100_40_3_14,BinP,2.05,3432.00
100_40_3_14,3CapRec,0.01,4288.00
100_40_3_14,3Cap,0.01,3414.00
100_40_3_15,BinP,2.06,3454.00
100_40_3_15,3CapRec,0.01,4287.00
100_40_3_15,3Cap,0.01,3427.00
100_40_3_16,BinP,2.01,3403.00
100_40_3_16,3CapRec,0.01,4240.00
100_40_3_16,3Cap,0.01,3397.00
100_40_3_17,BinP,2.06,3427.00
100_40_3_17,3CapRec,0.02,4092.00
100_40_3_17,3Cap,0.01,3386.00
100_40_3_18,BinP,2.06,3426.00
100_40_3_18,3CapRec,0.00,4508.00
100_40_3_18,3Cap,0.01,3363.00
100_40_3_19,BinP,2.05,3442.00
100_40_3_19,3CapRec,0.01,4302.00
100_40_3_19,3Cap,0.01,3401.00
